Metric,2015,2016,2017,2018,2019,2020,2021,2022,2023,region
Coal,86.5,77.7,71.1,69.1,67.3,59.4,50.7,42.5,34.0,World
Oil and natural gas,84.5,88.4,82.2,68.7,67.1,47.2,56.6,64.1,64.0,World
Nuclear,28.8,34.9,38.6,36.3,37.1,40.4,45.3,52.9,62.6,World
Renewables,331.0,340.0,351.0,377.0,451.0,494.0,517.0,596.0,659.0,World
Fossil CCUS,1.26,0.87,0.24,0.0,0.05,0.1,0.1,1.27,7.83,World
Coal,13.7,12.3,10.1,9.24,8.99,7.05,4.36,2.43,1.53,Advanced Economies
Oil and natural gas,35.0,35.7,32.1,26.7,25.3,19.3,21.9,24.6,23.4,Advanced Economies
Nuclear,12.5,18.0,21.6,19.5,17.9,18.6,22.0,26.4,30.1,Advanced Economies
Renewables,175.0,168.0,161.0,172.0,189.0,203.0,222.0,250.0,277.0,Advanced Economies
Fossil CCUS,1.26,0.87,0.24,0.0,0.0,0.0,0.04,0.09,6.64,Advanced Economies
Coal,29.7,27.0,25.0,24.2,22.6,19.5,17.4,15.5,13.4,EMDE
Oil and natural gas,41.5,44.2,40.9,33.1,35.2,21.1,27.0,31.2,32.8,EMDE
Nuclear,6.8,8.17,9.37,10.2,12.2,13.8,14.1,15.0,18.0,EMDE
Renewables,61.0,61.0,59.5,71.0,85.4,88.4,95.9,106.0,110.0,EMDE
Fossil CCUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,EMDE
Coal,29.7,27.0,25.0,24.2,22.6,19.5,17.4,15.5,13.4,China
Oil and natural gas,41.5,44.2,40.9,33.1,35.2,21.1,27.0,31.2,32.8,China
Nuclear,6.8,8.17,9.37,10.2,12.2,13.8,14.1,15.0,18.0,China
Renewables,61.0,61.0,59.5,71.0,85.4,88.4,95.9,106.0,110.0,China
Fossil CCUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,China
Coal,0.03,0.02,0.01,0.01,0.02,0.03,0.03,0.04,0.1,North America
Oil and natural gas,19.0,20.9,19.5,16.5,15.2,11.6,12.3,13.1,12.3,North America
Nuclear,5.78,10.3,12.2,8.47,7.21,6.77,7.09,9.96,12.2,North America
Renewables,61.4,59.2,50.4,57.9,69.9,74.5,74.0,81.8,94.4,North America
Fossil CCUS,1.26,0.87,0.24,0.0,0.0,0.0,0.0,0.0,5.35,North America
Coal,0.42,0.43,0.43,0.43,0.27,0.05,0.0,0.01,0.03,Central South America
Oil and natural gas,3.37,3.75,3.99,3.71,3.88,2.37,2.8,2.7,2.59,Central South America
Nuclear,0.0,0.0,0.0,0.01,0.02,0.13,0.24,0.56,0.88,Central South America
Renewables,23.3,18.9,16.1,16.9,20.0,25.5,34.3,37.0,30.2,Central South America
Fossil CCUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Central South America
Coal,7.31,5.49,4.26,4.06,3.9,3.26,2.92,2.93,3.0,Europe
Oil and natural gas,8.11,7.83,7.15,6.54,6.57,6.02,8.21,10.5,10.5,Europe
Nuclear,7.3,8.88,9.86,10.4,10.4,12.0,14.4,15.1,16.3,Europe
Renewables,79.0,79.1,77.9,78.3,79.5,86.3,104.0,120.0,133.0,Europe
Fossil CCUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.25,Europe
Oil and natural gas,11.7,11.8,10.9,9.09,10.8,6.6,7.63,8.94,9.86,Middle East
Nuclear,0.61,1.1,1.59,1.59,1.59,1.29,0.49,0.0,0.4,Middle East
Renewables,1.75,1.95,2.63,3.35,3.3,3.31,4.64,5.06,5.11,Middle East
Fossil CCUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Middle East
Storage,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.0,0.0,Middle East
Coal,1.54,0.76,0.37,0.48,0.91,1.5,2.06,2.63,3.19,Eurasia
Oil and natural gas,7.18,8.22,7.94,5.92,4.92,2.57,5.13,7.76,9.48,Eurasia
Nuclear,3.1,2.69,2.9,3.73,4.77,5.41,5.78,6.31,7.52,Eurasia
Renewables,2.38,2.58,2.98,4.54,5.65,4.89,3.93,3.66,3.73,Eurasia
Fossil CCUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Eurasia
Coal,75.4,69.0,64.0,62.4,60.6,53.1,44.4,36.0,27.1,Asia Pacific
Oil and natural gas,25.3,24.8,23.0,20.2,19.6,15.0,16.8,17.6,16.0,Asia Pacific
Nuclear,12.0,11.9,12.0,12.1,13.2,14.7,17.1,20.3,24.4,Asia Pacific
Renewables,153.0,168.0,192.0,207.0,263.0,288.0,283.0,332.0,373.0,Asia Pacific
Fossil CCUS,0.0,0.0,0.0,0.0,0.05,0.1,0.1,1.27,1.23,Asia Pacific
